,county,item,quantity
75,East Lindsey,cheese cake,2927799.0
76,East Lindsey,easy peeler loose,2927778.0
77,East Lindsey,pokemon blue,2927352.0
78,East Lindsey,hp dv 2000 laptop,2926815.0
79,Falkirk,brenton t-shirt,2926563.0
80,East Lindsey,samsung washing machine,2924103.0
81,East Lindsey,pokemon gold,2924076.0
82,East Lindsey,oxford shoes,2923197.0
83,East Lindsey,silk tie,2920173.0
84,East Lindsey,unsalted butter,2920074.0
85,East Lindsey,chocolate fudge cake,2919237.0
86,Falkirk,Spring onions bunch,2915529.0
87,East Lindsey,custard doughnut,2914440.0
88,East Lindsey,skimmed milk,2914005.0
89,East Lindsey,british bramley cooking apples,2913675.0
90,East Lindsey,pain au chocolate,2912787.0
91,East Lindsey,classic bowtie,2912103.0
92,East Lindsey,brenton jumper,2912052.0
93,East Lindsey,Slightly salted butter,2911725.0
94,Falkirk,free range large eggs x12,2911251.0
95,East Lindsey,chicken sausages,2910969.0
96,East Lindsey,Mixed pepper,2910213.0
97,Falkirk,x-box 360,2909430.0
98,Falkirk,denim jeams,2908005.0
99,East Lindsey,halo combat evolved,2907591.0
100,East Lindsey,lg washing machine,2907333.0
101,East Lindsey,wellington boots,2907042.0
102,East Lindsey,beef sausages,2906124.0
103,Falkirk,cotton tie,2905968.0
104,East Lindsey,plastic sunshades,2904315.0
105,East Lindsey,dyson tower fan,2904198.0
106,East Lindsey,sea bass fillets,2904078.0
107,East Lindsey,Fairtrade Bananas Loose,2903757.0
108,East Lindsey,gameboy advance,2903031.0
109,East Lindsey,british fresh chicken brest fillets,2902770.0
110,East Lindsey,mild cheddar cheese,2902335.0
111,Falkirk,hp dv 3000 laptop,2901741.0
112,East Lindsey,jam doughnut,2899980.0
113,East Lindsey,linen shirt,2899287.0
114,East Lindsey,shortbread,2898168.0
115,East Lindsey,blue stilton cheese,2898081.0
116,East Lindsey,diced vernison,2898063.0
117,Falkirk,british parsnips loose,2896992.0
118,East Lindsey,british fresh turkey mince,2896002.0
119,East Lindsey,chocolate twist,2894742.0
120,Falkirk,beef sausages,2893548.0
121,East Lindsey,wristwatch,2893137.0
122,East Lindsey,courgette loose,2892156.0
123,East Lindsey,denim jeams,2891160.0
124,East Lindsey,beef mince,2891061.0
125,Falkirk,salmon fillets,2890824.0
126,East Lindsey,semi skimmed milk,2890476.0
127,East Lindsey,grey blazers,2890224.0
128,Falkirk,play station 3,2889771.0
129,East Lindsey,hp envy laptop,2888661.0
130,Falkirk,gameboy color,2888397.0
131,Falkirk,olive oil spread,2888286.0
132,Falkirk,Almond milk,2887818.0
133,East Lindsey,white shirt,2887743.0
134,Falkirk,mild cheddar cheese,2887242.0
135,East Lindsey,croisant ,2886333.0
136,East Lindsey,21 day mature rump steak,2886177.0
137,East Lindsey,god of war 2,2885505.0
138,Falkirk,pokemon blue,2885286.0
139,Falkirk,British baking potatoes loose,2884968.0
140,East Lindsey,british parsnips loose,2884896.0
141,East Lindsey,hp dv 3000 laptop,2884635.0
142,East Lindsey,dyson vacuum cleaner,2884263.0
143,Falkirk,oxford shoes,2883705.0
144,East Lindsey,Organic mILK,2883399.0
145,East Lindsey,21 day mature sirlion steak,2883117.0
146,Falkirk,21 day mature rump steak,2882931.0
147,East Lindsey,red velvet cake,2882052.0
148,Falkirk,Onions Loose,2881614.0
149,East Lindsey,Blueberry yoghurt,2881485.0
150,Falkirk,chocolate fudge cake,2881200.0
151,Falkirk,british fresh chicken thigh fillets,2881068.0
152,Falkirk,god of war 2,2880936.0
153,Falkirk,silk scarf,2880846.0
154,Falkirk,dual shock controller,2880702.0
155,Falkirk,Soy Milk,2880489.0
156,East Lindsey,vernison sausages,2879109.0
157,Falkirk,grey blazers,2878533.0
158,Falkirk,oxford shirt,2878269.0
159,East Lindsey,cotton tie,2877810.0
160,East Lindsey,Organic Kefir,2876880.0
161,Falkirk,denim jacket,2876274.0
162,Falkirk,Organic mILK,2875896.0
163,Falkirk,halo combat evolved,2874243.0
164,East Lindsey,pokemon yellow,2873133.0
165,Falkirk,macaron - x3,2873013.0
166,Falkirk,flapjack,2872950.0
167,Falkirk,dyson tower fan,2871660.0
168,East Lindsey,diced chicken breast,2871000.0
169,East Lindsey,pokemon red,2870847.0
170,East Lindsey,bosch washing machine,2870808.0
171,East Lindsey,goat cheese,2870208.0
172,Falkirk,raspberries,2869998.0
173,Falkirk,diced vernison,2869461.0
174,Falkirk,dyson washing machine,2868972.0
175,East Lindsey,oxford shirt,2868792.0
176,East Lindsey,fresh turkey steak,2868699.0
177,East Lindsey,pain au raisins,2868651.0
178,East Lindsey,x-box 360,2868492.0
179,Falkirk,Plain Greek yoghurt,2867862.0
180,East Lindsey,grey cardigan,2867361.0
181,Falkirk,croisant ,2867280.0
182,Falkirk,dyson vacuum cleaner,2866275.0
183,East Lindsey,hotpoint washing machine,2865714.0
184,East Lindsey,gameboy color,2865420.0
185,Falkirk,fresh turkey steak,2865396.0
186,Falkirk,easy peeler loose,2865246.0
187,East Lindsey,macaron - x3,2861943.0
188,Falkirk,pain au raisins,2861322.0
189,Falkirk,dell inspiron laptop,2861115.0
190,Falkirk,Red pepper,2860983.0
191,Falkirk,chicken sausages,2860965.0
192,East Lindsey,large king prawns,2860359.0
193,Falkirk,brenton jumper,2860200.0
194,Falkirk,Oats Milk,2859180.0
195,Falkirk,linen shirt,2858766.0
196,Falkirk,Slightly salted butter,2858601.0
197,Falkirk,baby potatoes,2856900.0
198,Falkirk,sea bass fillets,2856639.0
199,Falkirk,Fairtrade Bananas Loose,2856060.0
200,Falkirk,Lemon,2855058.0
201,Falkirk,apple macbook pro mid 2009,2854800.0
202,Falkirk,shortbread,2854554.0
203,East Lindsey,free range large eggs x12,2853927.0
204,Falkirk,21 day mature sirlion steak,2852451.0
205,Falkirk,beef mince,2852340.0
206,East Lindsey,dual shock controller,2851896.0
207,East Lindsey,Lemon,2850543.0
208,Falkirk,almond croisant,2849655.0
209,Falkirk,pokemon yellow,2848194.0
210,Falkirk,Mixed pepper,2845536.0
211,East Lindsey,raspberries,2845008.0
212,Falkirk,samsung washing machine,2844324.0
213,Falkirk,silk tie,2841372.0
214,Falkirk,bosch washing machine,2841237.0
215,East Lindsey,Soy Milk,2840832.0
216,East Lindsey,scottish salmon,2840238.0
217,Falkirk,chocolate twist,2839923.0
218,Falkirk,Organic Kefir,2838951.0
219,Falkirk,skimmed milk,2836926.0
220,Falkirk,courgette loose,2835828.0
221,Falkirk,pain au chocolate,2835696.0
222,Falkirk,vernison sausages,2835603.0
223,Falkirk,jam doughnut,2835066.0
224,Falkirk,mature cheddar cheese,2834244.0
225,East Lindsey,vanilla yoghurt,2833407.0
226,Falkirk,semi skimmed milk,2832393.0
227,Falkirk,cod fillets,2832369.0
228,Falkirk,lg washing machine,2832237.0
229,Falkirk,minecraft game - xbox,2832000.0
230,Falkirk,gaming mouse,2831916.0
231,Falkirk,white shirt,2831499.0
232,East Lindsey,minecraft game - xbox,2830908.0
233,Falkirk,British carrots loose,2827542.0
234,Falkirk,fresh whole turkey,2826153.0
235,Falkirk,cheese cake,2825709.0
236,Falkirk,wristwatch,2825148.0
237,Falkirk,unsalted butter,2825049.0
238,Falkirk,gaming keyboard,2824131.0
239,East Lindsey,denim jacket,2823879.0
240,Falkirk,pokemon gold,2823648.0
241,Falkirk,linen trousers,2823603.0
242,Falkirk,aubergine,2823594.0
243,East Lindsey,silk scarf,2823279.0
244,Falkirk,custard doughnut,2823135.0
245,Falkirk,organic raspberry yoghurt,2821626.0
246,East Lindsey,21 day mature ribeye steak,2820543.0
247,Falkirk,millionaire square,2820477.0
248,Falkirk,british fresh turkey mince,2819358.0
249,Falkirk,21 day mature ribeye steak,2818908.0
250,Falkirk,red velvet cake,2817681.0
251,Falkirk,blue stilton cheese,2817468.0
252,Falkirk,classic bowtie,2817168.0
253,Falkirk,grey cardigan,2817078.0
254,Falkirk,diced chicken breast,2816247.0
255,Falkirk,apple macbook air mid 2009,2815107.0
256,Falkirk,british bramley cooking apples,2813694.0
257,Falkirk,Blueberry yoghurt,2813466.0
258,Falkirk,vanilla yoghurt,2813028.0
259,East Lindsey,Oats Milk,2812470.0
260,Falkirk,wellington boots,2812056.0
261,Falkirk,fresh whole chicken,2811090.0
262,Falkirk,plastic sunshades,2804331.0
263,Falkirk,Brocolli loose,2801625.0
264,Falkirk,scottish salmon,2800533.0
265,Falkirk,goat cheese,2799762.0
266,Falkirk,hp envy laptop,2799204.0
267,Falkirk,gameboy advance,2796567.0
268,Falkirk,organic soured cream,2791371.0
269,Falkirk,pokemon red,2791308.0
270,Falkirk,pink blazers,2788560.0
271,Falkirk,hotpoint washing machine,2785302.0
272,Falkirk,celery,2784738.0
273,Falkirk,british fresh chicken brest fillets,2777382.0
274,Falkirk,hp dv 2000 laptop,2766885.0
275,East Cambridgeshire,wristwatch,2226852.0
276,East Cambridgeshire,chocolate twist,2196760.0
277,Greater London,wellington boots,2193160.0
278,East Cambridgeshire,gaming keyboard,2192648.0
279,East Cambridgeshire,Plain Greek yoghurt,2185566.0
280,East Cambridgeshire,21 day mature ribeye steak,2182548.0
281,East Cambridgeshire,Red pepper,2180578.0
282,East Cambridgeshire,dyson vacuum cleaner,2180510.0
283,East Cambridgeshire,hotpoint washing machine,2180152.0
284,East Cambridgeshire,fresh turkey steak,2179320.0
285,Warwickshire,macaron - x3,2178060.0
286,East Cambridgeshire,halo combat evolved,2176858.0
287,East Cambridgeshire,samsung washing machine,2172560.0
288,East Cambridgeshire,Brocolli loose,2171722.0
289,East Cambridgeshire,cheese cake,2170678.0
290,Greater London,pain au raisins,2170216.0
291,East Cambridgeshire,British carrots loose,2169724.0
292,East Cambridgeshire,goat cheese,2167716.0
293,East Cambridgeshire,organic soured cream,2165796.0
294,East Cambridgeshire,olive oil spread,2165588.0
295,East Cambridgeshire,Slightly salted butter,2165130.0
296,East Cambridgeshire,british fresh chicken thigh fillets,2165038.0
297,East Cambridgeshire,unsalted butter,2164500.0
298,East Cambridgeshire,vernison sausages,2163250.0
299,East Cambridgeshire,millionaire square,2162984.0
300,East Cambridgeshire,red velvet cake,2162494.0
301,East Cambridgeshire,free range large eggs x12,2161590.0
302,East Cambridgeshire,gameboy color,2161582.0
303,East Cambridgeshire,scottish salmon,2161188.0
304,East Cambridgeshire,dyson washing machine,2161166.0
305,East Cambridgeshire,british fresh turkey mince,2160644.0
306,Warwickshire,minecraft game - xbox,2160538.0
307,Flintshire,corned beef,2160105.0
308,Warwickshire,mature cheddar cheese,2159732.0
309,East Cambridgeshire,pokemon yellow,2159704.0
310,East Cambridgeshire,mature cheddar cheese,2159672.0
311,East Cambridgeshire,silk scarf,2158858.0
312,East Cambridgeshire,hp envy laptop,2158792.0
313,East Cambridgeshire,semi skimmed milk,2158470.0
314,East Cambridgeshire,wellington boots,2158200.0
315,East Cambridgeshire,macaron - x3,2158018.0
316,East Cambridgeshire,classic bowtie,2157386.0
317,East Cambridgeshire,play station 3,2157258.0
318,East Cambridgeshire,silk tie,2157056.0
319,Warwickshire,brenton jumper,2157040.0
320,Warwickshire,gaming mouse,2155130.0
321,East Cambridgeshire,linen trousers,2154836.0
322,East Cambridgeshire,courgette loose,2153958.0
323,Kent,halo combat evolved,2153936.0
324,East Cambridgeshire,skimmed milk,2153926.0
325,East Cambridgeshire,21 day mature rump steak,2153802.0
326,East Cambridgeshire,raspberries,2153616.0
327,Lincoln,fine beans,2153037.0
328,East Cambridgeshire,Oats Milk,2152994.0
329,East Cambridgeshire,denim jacket,2152834.0
330,Warwickshire,goat cheese,2152784.0
331,Flintshire,fine beans,2152407.0
332,East Cambridgeshire,shortbread,2151146.0
333,East Cambridgeshire,fresh whole chicken,2151068.0
334,Greater London,cheese cake,2150694.0
335,Greater London,beef sausages,2150202.0
336,Warwickshire,large king prawns,2149132.0
337,East Cambridgeshire,pink blazers,2148896.0
338,Greater London,Spring onions bunch,2148770.0
339,East Cambridgeshire,oxford shirt,2148674.0
340,Warwickshire,wellington boots,2148630.0
341,East Cambridgeshire,British baking potatoes loose,2148574.0
342,East Cambridgeshire,pokemon blue,2148376.0
343,East Cambridgeshire,pokemon red,2148218.0
344,Warwickshire,beef sausages,2148150.0
345,Greater London,dyson vacuum cleaner,2148084.0
346,East Cambridgeshire,pokemon gold,2148074.0
347,Warwickshire,linen trousers,2147932.0
348,Greater London,shortbread,2147920.0
349,Warwickshire,easy peeler loose,2147628.0
350,Orkney,Organic mILK,2147370.0
351,Warwickshire,grey blazers,2146716.0
352,East Cambridgeshire,Spring onions bunch,2146450.0
353,East Cambridgeshire,croisant ,2145542.0
354,Greater London,organic raspberry yoghurt,2145496.0
355,Warwickshire,dell inspiron laptop,2145244.0
356,East Cambridgeshire,sea bass fillets,2144548.0
357,East Cambridgeshire,fresh whole turkey,2144238.0
358,Greater London,red velvet cake,2143826.0
359,East Cambridgeshire,british parsnips loose,2143676.0
360,Warwickshire,pokemon blue,2143654.0
361,Warwickshire,semi skimmed milk,2143336.0
362,East Cambridgeshire,lg washing machine,2142834.0
363,Warwickshire,Oats Milk,2142548.0
364,East Cambridgeshire,dell inspiron laptop,2142432.0
365,Warwickshire,Organic Kefir,2141616.0
366,Orkney,white shirt,2141492.0
367,East Cambridgeshire,brenton t-shirt,2141086.0
368,East Cambridgeshire,diced chicken breast,2140858.0
369,Greater London,Brocolli loose,2139914.0
370,East Cambridgeshire,white shirt,2139712.0
371,Warwickshire,21 day mature ribeye steak,2139640.0
372,East Cambridgeshire,vanilla yoghurt,2138738.0
373,Warwickshire,god of war 2,2138394.0
374,Flintshire,garlic,2138271.0
375,Greater London,celery,2138126.0
376,Warwickshire,dual shock controller,2137796.0
377,Warwickshire,Onions Loose,2137686.0
378,Orkney,british fresh chicken brest fillets,2137608.0
379,Kent,linen trousers,2137360.0
380,Warwickshire,mild cheddar cheese,2136972.0
381,Greater London,pokemon gold,2136906.0
382,East Cambridgeshire,Soy Milk,2136880.0
383,Greater London,white shirt,2136424.0
384,East Cambridgeshire,grey cardigan,2136336.0
385,Greater London,organic soured cream,2136200.0
386,Greater London,dual shock controller,2136184.0
387,Greater London,pokemon red,2136176.0
388,East Cambridgeshire,denim jeams,2135960.0
389,Orkney,cotton tie,2135708.0
390,East Cambridgeshire,dyson tower fan,2135248.0
391,Warwickshire,oxford shoes,2135062.0
392,Richmondshire,corned beef,2134982.0
393,Warwickshire,sea bass fillets,2134778.0
394,Greater London,vernison sausages,2134744.0
395,Warwickshire,diced chicken breast,2134500.0
396,Greater London,bosch washing machine,2134192.0
397,East Cambridgeshire,oxford shoes,2133758.0
398,East Cambridgeshire,flapjack,2133176.0
399,Warwickshire,british fresh chicken thigh fillets,2133168.0
400,South Northamptonshire,garlic,2133117.0
401,Warwickshire,cod fillets,2133108.0
402,East Cambridgeshire,large king prawns,2133092.0
403,Tyne and Wear,fine beans,2132875.0
404,Greater London,british bramley cooking apples,2132866.0
405,Orkney,blue stilton cheese,2132646.0
406,Warwickshire,fresh turkey steak,2132644.0
407,East Cambridgeshire,pain au raisins,2132416.0
408,Greater London,british fresh chicken brest fillets,2132080.0
409,Orkney,British carrots loose,2131722.0
410,Orkney,raspberries,2131298.0
411,Warwickshire,organic soured cream,2131240.0
412,Greater London,Plain Greek yoghurt,2131004.0
413,East Cambridgeshire,Fairtrade Bananas Loose,2130836.0
414,East Cambridgeshire,21 day mature sirlion steak,2130828.0
415,Warwickshire,21 day mature rump steak,2130716.0
416,East Cambridgeshire,Lemon,2130526.0
417,Warwickshire,plastic sunshades,2130156.0
418,Warwickshire,beef mince,2129802.0
419,Warwickshire,pain au chocolate,2129464.0
420,East Cambridgeshire,bosch washing machine,2129292.0
421,Stoke-on-Trent,fine beans,2129290.0
422,Greater London,Red pepper,2129110.0
423,Warwickshire,Brocolli loose,2128924.0
424,East Cambridgeshire,linen shirt,2128894.0
425,Orkney,oxford shoes,2128774.0
426,Greater London,silk scarf,2128750.0
427,Warwickshire,free range large eggs x12,2128082.0
428,East Cambridgeshire,jam doughnut,2128068.0
429,Warwickshire,classic bowtie,2127934.0
430,Orkney,large king prawns,2127836.0
431,Warwickshire,raspberries,2127748.0
432,Greater London,baby potatoes,2127664.0
433,East Cambridgeshire,x-box 360,2127598.0
434,Orkney,hotpoint washing machine,2127512.0
435,East Cambridgeshire,organic raspberry yoghurt,2127432.0
436,Warwickshire,samsung washing machine,2127260.0
437,East Cambridgeshire,brenton jumper,2127220.0
438,Greater London,skimmed milk,2127220.0
439,Warwickshire,chocolate fudge cake,2127092.0
440,Kent,salmon fillets,2126886.0
441,Greater London,dell inspiron laptop,2126878.0
442,Kent,apple macbook air mid 2009,2126834.0
443,Greater London,courgette loose,2126696.0
444,East Cambridgeshire,british fresh chicken brest fillets,2126474.0
445,Warwickshire,scottish salmon,2126456.0
446,Lincoln,garlic,2126382.0
447,Greater London,grey cardigan,2126280.0
448,East Cambridgeshire,grey blazers,2126216.0
449,Warwickshire,Almond milk,2126074.0
450,Greater London,chocolate fudge cake,2126066.0
451,Greater London,play station 3,2125948.0
452,Greater London,x-box 360,2125764.0
453,East Cambridgeshire,blue stilton cheese,2125732.0
454,Greater London,custard doughnut,2125588.0
455,Orkney,dell inspiron laptop,2125450.0
456,Orkney,brenton jumper,2125416.0
457,Greater London,free range large eggs x12,2125270.0
458,Greater London,gameboy color,2125268.0
459,Orkney,Soy Milk,2124980.0
460,Greater London,pain au chocolate,2124594.0
461,Orkney,macaron - x3,2124508.0
462,East Cambridgeshire,beef sausages,2124464.0
463,Greater London,fresh turkey steak,2124358.0
464,Warwickshire,hp dv 3000 laptop,2124168.0
465,Warwickshire,brenton t-shirt,2123666.0
466,Greater London,british parsnips loose,2123448.0
467,Warwickshire,celery,2123358.0
468,Fylde,garlic,2123096.0
469,Greater London,millionaire square,2123014.0
470,Greater London,hotpoint washing machine,2122716.0
471,East Cambridgeshire,Organic mILK,2122500.0
472,East Cambridgeshire,easy peeler loose,2122250.0
473,Greater London,brenton t-shirt,2122206.0
474,Richmondshire,garlic,2122120.0
475,Orkney,minecraft game - xbox,2122082.0
476,East Cambridgeshire,Onions Loose,2122058.0
477,Warwickshire,flapjack,2121336.0
478,Cheshire East,corned beef,2121267.0
479,East Cambridgeshire,hp dv 2000 laptop,2120872.0
480,Warwickshire,cotton tie,2120616.0
481,Warwickshire,gameboy color,2120574.0
482,Orkney,samsung washing machine,2120306.0
483,Kent,21 day mature ribeye steak,2120010.0
484,Warwickshire,vanilla yoghurt,2119850.0
485,East Cambridgeshire,Sweet potatoes loose,2119688.0
486,East Cambridgeshire,hp dv 3000 laptop,2119628.0
487,East Cambridgeshire,gaming mouse,2119596.0
488,Cheshire East,garlic,2119471.0
489,Warwickshire,Spring onions bunch,2119394.0
490,Greater London,flapjack,2119388.0
491,Kent,aubergine,2119232.0
492,Warwickshire,unsalted butter,2119040.0
493,Warwickshire,chocolate twist,2119032.0
494,Greater London,beef mince,2118956.0
495,Haringey,corned beef,2118942.0
496,Orkney,croisant ,2118926.0
497,Warwickshire,dyson vacuum cleaner,2118906.0
498,Kent,classic bowtie,2118726.0
499,East Cambridgeshire,cod fillets,2118654.0
500,Greater London,hp dv 2000 laptop,2118654.0
501,Warwickshire,play station 3,2118620.0
502,Tyne and Wear,garlic,2118601.0
503,Stoke-on-Trent,garlic,2118463.0
504,Warwickshire,hotpoint washing machine,2118458.0
505,Warwickshire,halo combat evolved,2118388.0
506,Kent,sea bass fillets,2118186.0
507,Warwickshire,Red pepper,2118112.0
508,East Cambridgeshire,custard doughnut,2118086.0
509,East Cambridgeshire,celery,2118076.0
510,Lincoln,corned beef,2117985.0
511,Orkney,pain au chocolate,2117978.0
512,Lambeth,fine beans,2117360.0
513,East Cambridgeshire,minecraft game - xbox,2117338.0
514,Warwickshire,linen shirt,2117298.0
515,Warwickshire,custard doughnut,2117262.0
516,Warwickshire,gaming keyboard,2117176.0
517,Castle Point,fine beans,2117088.0
518,Orkney,mild cheddar cheese,2116968.0
519,Kent,british fresh turkey mince,2116914.0
520,Greater London,21 day mature ribeye steak,2116884.0
521,East Devon,corned beef,2116710.0
522,Sefton,garlic,2116687.0
523,Warwickshire,Slightly salted butter,2116644.0
524,Stoke-on-Trent,corned beef,2116638.0
525,East Cambridgeshire,Organic Kefir,2116616.0
526,East Cambridgeshire,god of war 2,2116424.0
527,Greater London,lg washing machine,2116420.0
528,Greater London,aubergine,2116334.0
529,Greater London,scottish salmon,2116294.0
530,Greater London,British baking potatoes loose,2116094.0
531,Greater London,mature cheddar cheese,2116072.0
532,Warwickshire,skimmed milk,2115660.0
533,Bassetlaw,garlic,2114980.0
534,Wyre,corned beef,2114681.0
535,Greater London,denim jeams,2114666.0
536,Warwickshire,british fresh turkey mince,2114576.0
537,Greater London,linen shirt,2114508.0
538,Greater London,British carrots loose,2114450.0
539,Orkney,organic soured cream,2114434.0
540,Orkney,fresh whole chicken,2114330.0
541,Greater London,Sweet potatoes loose,2114212.0
542,Greater London,chicken sausages,2114074.0
543,Kent,Mixed pepper,2114052.0
544,Epsom and Ewell,garlic,2114047.0
545,Warwickshire,hp dv 2000 laptop,2113952.0
546,Kent,skimmed milk,2113816.0
547,Greater London,Lemon,2113752.0
548,North Ayrshire,garlic,2113346.0
549,East Cambridgeshire,plastic sunshades,2113298.0
550,Greater London,gameboy advance,2113000.0
551,Greater London,chocolate twist,2112994.0
552,Warwickshire,Plain Greek yoghurt,2112946.0
553,Warwickshire,21 day mature sirlion steak,2112904.0
554,Greater London,croisant ,2112804.0
555,Staffordshire,garlic,2112733.0
556,Sefton,corned beef,2112629.0
557,Warwickshire,british bramley cooking apples,2112596.0
558,Swansea,corned beef,2112538.0
559,Greater London,cotton tie,2112484.0
560,Warwickshire,British carrots loose,2112270.0
561,Orkney,british bramley cooking apples,2111844.0
562,Warwickshire,apple macbook pro mid 2009,2111818.0
563,Lambeth,corned beef,2111810.0
564,Orkney,sea bass fillets,2111532.0
565,Greater London,almond croisant,2111296.0
566,Greater London,easy peeler loose,2111274.0
567,Kent,hp dv 2000 laptop,2111204.0
568,Greater London,cod fillets,2111068.0
569,East Cambridgeshire,aubergine,2111052.0
570,Warwickshire,denim jeams,2111010.0
571,Greater London,dyson tower fan,2110982.0
572,Kent,Brocolli loose,2110932.0
573,Warwickshire,fresh whole chicken,2110916.0
574,Orkney,denim jeams,2110882.0
575,Orkney,mature cheddar cheese,2110844.0
576,Orkney,21 day mature ribeye steak,2110670.0
577,Orkney,chocolate twist,2110464.0
578,East Cambridgeshire,cotton tie,2110390.0
579,Warwickshire,Sweet potatoes loose,2110358.0
580,Kent,beef sausages,2110152.0
581,Orkney,courgette loose,2110030.0
582,Wyre,garlic,2109921.0
583,Greater London,unsalted butter,2109740.0
584,Kent,Plain Greek yoghurt,2109650.0
585,Kent,x-box 360,2109454.0
586,Warwickshire,cheese cake,2109346.0
587,Orkney,Organic Kefir,2109320.0
588,Warwickshire,shortbread,2109162.0
589,Orkney,cod fillets,2108724.0
590,Kent,gameboy color,2108604.0
591,Warwickshire,courgette loose,2108396.0
592,Greater London,macaron - x3,2108316.0
593,Kent,bosch washing machine,2108294.0
594,Kent,free range large eggs x12,2108270.0
595,Greater London,british fresh turkey mince,2108150.0
596,East Cambridgeshire,chocolate fudge cake,2108126.0
597,Greater London,sea bass fillets,2107944.0
598,Warwickshire,pain au raisins,2107696.0
599,Greater London,pokemon yellow,2107696.0
600,Orkney,grey cardigan,2107600.0
601,Orkney,wellington boots,2107360.0
602,Greater London,Organic mILK,2107358.0
603,Greater London,wristwatch,2107284.0
604,Kent,diced chicken breast,2107104.0
605,Greater London,Mixed pepper,2107096.0
606,Greater London,vanilla yoghurt,2107006.0
607,Warwickshire,Mixed pepper,2106818.0
608,Warwickshire,pokemon gold,2106798.0
609,East Cambridgeshire,british bramley cooking apples,2106676.0
610,Greater London,fresh whole turkey,2106656.0
611,Greater London,hp envy laptop,2106638.0
612,Orkney,semi skimmed milk,2106622.0
613,Warwickshire,olive oil spread,2106572.0
614,Orkney,denim jacket,2106562.0
615,Epsom and Ewell,corned beef,2106539.0
616,Greater London,large king prawns,2106330.0
617,Orkney,flapjack,2106218.0
618,Kent,linen shirt,2106046.0
619,Greater London,god of war 2,2105914.0
620,Warwickshire,pink blazers,2105854.0
621,Peeblesshire,garlic,2105836.0
622,East Sussex,corned beef,2105811.0
623,Kent,oxford shirt,2105480.0
624,Orkney,Oats Milk,2105306.0
625,Orkney,dyson tower fan,2105220.0
626,Castle Point,garlic,2104982.0
627,Orkney,pokemon red,2104872.0
628,Orkney,organic raspberry yoghurt,2104762.0
