year,month,day,hour,branch,quantity
2011,5,19,8,east lindsey branch,40629.0
2011,5,19,18,east lindsey branch,1075.0
2011,5,20,22,east lindsey branch,53120.0
2011,5,21,7,east lindsey branch,21373.0
2011,5,25,11,east lindsey branch,4674.0
2011,5,26,13,east lindsey branch,69168.0
2011,5,27,0,east lindsey branch,19366.0
2011,5,27,15,east lindsey branch,3311.0
2011,6,2,3,east lindsey branch,12160.0
2011,6,2,10,east lindsey branch,33060.0
2011,6,4,16,east lindsey branch,46357.0
2011,6,4,20,east lindsey branch,59276.0
2011,6,5,4,east lindsey branch,46749.0
2011,6,5,13,east lindsey branch,19280.0
2011,6,8,21,east lindsey branch,79983.0
2011,6,9,11,east lindsey branch,79024.0
2011,6,9,12,east lindsey branch,16464.0
2011,6,9,14,east lindsey branch,70353.0
2011,6,10,0,east lindsey branch,29750.0
2011,6,11,15,east lindsey branch,72353.0
2011,6,12,1,east lindsey branch,72374.0
2011,6,16,17,east lindsey branch,26662.0
2011,6,17,9,east lindsey branch,55189.0
2011,6,19,18,east lindsey branch,37734.0
2011,6,19,23,east lindsey branch,3410.0
2011,6,22,8,east lindsey branch,73600.0
2011,6,22,19,east lindsey branch,1278.0
2011,6,23,6,east lindsey branch,43802.0
2011,6,23,22,east lindsey branch,18093.0
2011,6,25,5,east lindsey branch,48384.0
2011,6,26,2,east lindsey branch,75456.0
2011,6,28,7,east lindsey branch,67434.0
2011,7,2,6,east lindsey branch,11497.0
2011,7,4,0,east lindsey branch,25014.0
2011,7,5,22,east lindsey branch,19864.0
2011,7,6,21,east lindsey branch,37614.0
2011,7,7,15,east lindsey branch,2999.0
2011,7,8,5,east lindsey branch,66852.0
2011,7,9,2,east lindsey branch,3605.0
2011,7,10,18,east lindsey branch,19456.0
2011,7,12,9,east lindsey branch,67605.0
2011,7,14,14,east lindsey branch,61590.0
2011,7,15,20,east lindsey branch,64152.0
2011,7,17,4,east lindsey branch,37702.0
2011,7,17,8,east lindsey branch,12452.0
2011,7,18,10,east lindsey branch,32494.0
2011,7,18,16,east lindsey branch,27035.0
2011,7,21,17,east lindsey branch,34105.0
2011,7,22,12,east lindsey branch,41381.0
2011,7,23,7,east lindsey branch,46519.0
2011,7,23,13,east lindsey branch,26414.0
2011,7,26,1,east lindsey branch,60457.0
2011,7,26,3,east lindsey branch,19342.0
2011,7,27,19,east lindsey branch,77844.0
2011,7,27,23,east lindsey branch,19479.0
2011,7,28,11,east lindsey branch,20120.0
2011,8,1,16,east lindsey branch,76473.0
2011,8,2,18,east lindsey branch,22251.0
2011,8,4,11,east lindsey branch,81001.0
2011,8,6,6,east lindsey branch,77606.0
2011,8,6,7,east lindsey branch,83172.0
2011,8,6,17,east lindsey branch,37055.0
2011,8,7,21,east lindsey branch,58249.0
2011,8,10,1,east lindsey branch,49514.0
2011,8,12,10,east lindsey branch,28618.0
2011,8,15,3,east lindsey branch,58102.0
2011,8,15,19,east lindsey branch,8590.0
2011,8,17,20,east lindsey branch,35681.0
2011,8,17,22,east lindsey branch,73047.0
2011,8,19,0,east lindsey branch,19426.0
2011,8,20,4,east lindsey branch,16929.0
2011,8,20,14,east lindsey branch,73203.0
2011,8,21,8,east lindsey branch,26029.0
2011,8,21,9,east lindsey branch,63486.0
2011,8,23,2,east lindsey branch,16924.0
2011,8,23,5,east lindsey branch,19167.0
2011,8,23,15,east lindsey branch,12153.0
2011,8,26,12,east lindsey branch,39549.0
2011,8,27,13,east lindsey branch,9420.0
2011,8,28,23,east lindsey branch,28754.0
2011,9,2,13,east lindsey branch,65252.0
2011,9,2,21,east lindsey branch,66448.0
2011,9,3,5,east lindsey branch,42499.0
2011,9,3,19,east lindsey branch,61657.0
2011,9,4,15,east lindsey branch,8418.0
2011,9,6,0,east lindsey branch,25647.0
2011,9,6,12,east lindsey branch,79451.0
2011,9,6,22,east lindsey branch,25817.0
2011,9,10,7,east lindsey branch,61577.0
2011,9,11,11,east lindsey branch,8825.0
2011,9,12,4,east lindsey branch,64481.0
2011,9,12,8,east lindsey branch,33014.0
2011,9,12,20,east lindsey branch,8095.0
2011,9,17,18,east lindsey branch,40466.0
2011,9,18,9,east lindsey branch,31038.0
2011,9,18,10,east lindsey branch,53935.0
2011,9,19,3,east lindsey branch,71226.0
2011,9,20,14,east lindsey branch,32130.0
2011,9,21,2,east lindsey branch,45991.0
2011,9,21,16,east lindsey branch,67962.0
2011,9,24,6,east lindsey branch,4416.0
2011,9,24,17,east lindsey branch,66808.0
2011,9,24,23,east lindsey branch,32487.0
2011,9,27,1,east lindsey branch,60882.0
2011,10,2,0,east lindsey branch,42453.0
2011,10,2,6,east lindsey branch,8701.0
2011,10,5,12,east lindsey branch,33340.0
2011,10,5,23,east lindsey branch,43712.0
2011,10,6,2,east lindsey branch,9780.0
2011,10,6,7,east lindsey branch,5201.0
2011,10,6,14,east lindsey branch,19928.0
2011,10,6,22,east lindsey branch,33364.0
2011,10,10,17,east lindsey branch,73630.0
2011,10,11,3,east lindsey branch,49939.0
2011,10,11,20,east lindsey branch,32556.0
2011,10,13,1,east lindsey branch,39530.0
2011,10,16,8,east lindsey branch,78132.0
2011,10,17,15,east lindsey branch,65551.0
2011,10,19,5,east lindsey branch,49860.0
2011,10,19,11,east lindsey branch,21792.0
2011,10,20,13,east lindsey branch,35158.0
2011,10,20,21,east lindsey branch,42246.0
2011,10,21,4,east lindsey branch,13295.0
2011,10,21,9,east lindsey branch,21681.0
2011,10,21,10,east lindsey branch,41307.0
2011,10,24,16,east lindsey branch,36668.0
2011,10,25,18,east lindsey branch,79908.0
2011,10,25,19,east lindsey branch,36601.0
2011,11,1,15,east lindsey branch,46566.0
2011,11,2,2,east lindsey branch,26643.0
2011,11,3,20,east lindsey branch,8872.0
2011,11,5,21,east lindsey branch,41642.0
2011,11,6,6,east lindsey branch,32996.0
2011,11,6,14,east lindsey branch,37523.0
2011,11,7,4,east lindsey branch,13702.0
2011,11,7,5,east lindsey branch,11164.0
2011,11,7,19,east lindsey branch,1398.0
2011,11,8,18,east lindsey branch,60099.0
2011,11,9,0,east lindsey branch,475.0
2011,11,9,10,east lindsey branch,51841.0
2011,11,9,16,east lindsey branch,57566.0
2011,11,10,13,east lindsey branch,40154.0
2011,11,11,1,east lindsey branch,62465.0
2011,11,11,22,east lindsey branch,14128.0
2011,11,12,12,east lindsey branch,17984.0
2011,11,14,23,east lindsey branch,12547.0
2011,11,17,9,east lindsey branch,73151.0
2011,11,24,3,east lindsey branch,17628.0
2011,11,24,7,east lindsey branch,49527.0
2011,11,24,11,east lindsey branch,58373.0
2011,11,27,8,east lindsey branch,45155.0
2011,11,28,17,east lindsey branch,30492.0
2011,12,2,7,east lindsey branch,35860.0
2011,12,2,11,east lindsey branch,24015.0
2011,12,3,15,east lindsey branch,82103.0
2011,12,5,2,east lindsey branch,38985.0
2011,12,5,3,east lindsey branch,38065.0
2011,12,8,1,east lindsey branch,71158.0
2011,12,10,0,east lindsey branch,53610.0
2011,12,11,23,east lindsey branch,80516.0
2011,12,12,10,east lindsey branch,51482.0
2011,12,14,6,east lindsey branch,6162.0
2011,12,15,17,east lindsey branch,39311.0
2011,12,15,21,east lindsey branch,37069.0
2011,12,17,13,east lindsey branch,29188.0
2011,12,18,8,east lindsey branch,53474.0
2011,12,18,22,east lindsey branch,21947.0
2011,12,19,18,east lindsey branch,49009.0
2011,12,20,4,east lindsey branch,62933.0
2011,12,22,9,east lindsey branch,28810.0
2011,12,22,19,east lindsey branch,26948.0
2011,12,24,16,east lindsey branch,9204.0
2011,12,25,12,east lindsey branch,28539.0
2011,12,25,20,east lindsey branch,31569.0
2011,12,27,5,east lindsey branch,58298.0
2011,12,28,14,east lindsey branch,55844.0
2012,1,2,1,east lindsey branch,66656.0
2012,1,3,9,east lindsey branch,15221.0
2012,1,4,8,east lindsey branch,50941.0
2012,1,4,16,east lindsey branch,71871.0
2012,1,5,12,east lindsey branch,18224.0
2012,1,5,21,east lindsey branch,56241.0
2012,1,8,10,east lindsey branch,20842.0
2012,1,9,13,east lindsey branch,14414.0
2012,1,10,23,east lindsey branch,1680.0
2012,1,11,18,east lindsey branch,75477.0
2012,1,12,3,east lindsey branch,2774.0
2012,1,16,17,east lindsey branch,68177.0
2012,1,18,2,east lindsey branch,17681.0
2012,1,20,0,east lindsey branch,1991.0
2012,1,22,6,east lindsey branch,37763.0
2012,1,22,20,east lindsey branch,53190.0
2012,1,23,15,east lindsey branch,51453.0
2012,1,23,19,east lindsey branch,30349.0
2012,1,26,4,east lindsey branch,11064.0
2012,1,26,11,east lindsey branch,52876.0
2012,1,26,22,east lindsey branch,46246.0
2012,1,27,14,east lindsey branch,14178.0
2012,1,28,5,east lindsey branch,79783.0
2012,1,28,7,east lindsey branch,11652.0
2012,2,1,9,east lindsey branch,53167.0
2012,2,3,18,east lindsey branch,8712.0
2012,2,5,0,east lindsey branch,85291.0
2012,2,7,4,east lindsey branch,32463.0
2012,2,7,7,east lindsey branch,555.0
2012,2,8,10,east lindsey branch,62782.0
2012,2,10,17,east lindsey branch,25324.0
2012,2,11,8,east lindsey branch,25619.0
2012,2,11,11,east lindsey branch,60046.0
2012,2,13,21,east lindsey branch,1318.0
2012,2,13,22,east lindsey branch,70755.0
2012,2,14,5,east lindsey branch,74941.0
2012,2,14,15,east lindsey branch,50953.0
2012,2,15,13,east lindsey branch,18145.0
2012,2,16,2,east lindsey branch,18726.0
2012,2,16,14,east lindsey branch,70391.0
2012,2,16,19,east lindsey branch,25238.0
2012,2,18,12,east lindsey branch,51612.0
2012,2,19,6,east lindsey branch,47827.0
2012,2,22,1,east lindsey branch,64740.0
2012,2,22,3,east lindsey branch,27062.0
2012,2,22,23,east lindsey branch,78664.0
2012,2,23,20,east lindsey branch,37297.0
2012,2,25,16,east lindsey branch,55938.0
2012,3,2,14,east lindsey branch,41199.0
2012,3,3,6,east lindsey branch,70716.0
2012,3,7,11,east lindsey branch,33533.0
2012,3,7,20,east lindsey branch,72492.0
2012,3,8,10,east lindsey branch,60550.0
2012,3,10,22,east lindsey branch,40775.0
2012,3,11,5,east lindsey branch,51238.0
2012,3,11,7,east lindsey branch,9697.0
2012,3,12,1,east lindsey branch,14016.0
2012,3,12,23,east lindsey branch,39978.0
2012,3,13,13,east lindsey branch,32335.0
2012,3,14,19,east lindsey branch,35068.0
2012,3,14,21,east lindsey branch,74763.0
2012,3,15,3,east lindsey branch,26175.0
2012,3,16,2,east lindsey branch,51914.0
2012,3,16,4,east lindsey branch,65486.0
2012,3,17,0,east lindsey branch,62320.0
2012,3,17,12,east lindsey branch,69372.0
2012,3,17,17,east lindsey branch,25783.0
2012,3,20,8,east lindsey branch,64578.0
2012,3,20,9,east lindsey branch,77011.0
2012,3,24,18,east lindsey branch,47710.0
2012,3,25,15,east lindsey branch,74068.0
2012,3,27,16,east lindsey branch,76548.0
2012,4,4,15,east lindsey branch,39929.0
2012,4,7,12,east lindsey branch,37937.0
2012,4,8,19,east lindsey branch,38522.0
2012,4,10,9,east lindsey branch,60838.0
2012,4,10,16,east lindsey branch,24737.0
2012,4,12,0,east lindsey branch,61342.0
2012,4,12,4,east lindsey branch,758.0
2012,4,13,10,east lindsey branch,71144.0
2012,4,14,8,east lindsey branch,43920.0
2012,4,14,20,east lindsey branch,42630.0
2012,4,16,2,east lindsey branch,37866.0
2012,4,16,5,east lindsey branch,74427.0
2012,4,16,18,east lindsey branch,62652.0
2012,4,18,14,east lindsey branch,51916.0
2012,4,19,7,east lindsey branch,27510.0
2012,4,21,11,east lindsey branch,25431.0
2012,4,21,22,east lindsey branch,1963.0
2012,4,21,23,east lindsey branch,2943.0
2012,4,23,1,east lindsey branch,70779.0
2012,4,23,6,east lindsey branch,75302.0
2012,4,23,13,east lindsey branch,33982.0
2012,4,25,3,east lindsey branch,33036.0
2012,4,26,17,east lindsey branch,17808.0
2012,4,28,21,east lindsey branch,68737.0
2012,5,1,4,east lindsey branch,6773.0
2012,5,2,2,east lindsey branch,40862.0
2012,5,4,6,east lindsey branch,17133.0
2012,5,4,9,east lindsey branch,75431.0
2012,5,7,20,east lindsey branch,10333.0
2012,5,10,5,east lindsey branch,46375.0
2012,5,10,16,east lindsey branch,72079.0
2012,5,11,1,east lindsey branch,25372.0
2012,5,11,11,east lindsey branch,38967.0
2012,5,12,13,east lindsey branch,7704.0
2012,5,15,0,east lindsey branch,50387.0
2012,5,15,19,east lindsey branch,73053.0
2012,5,18,7,east lindsey branch,41654.0
2012,5,18,8,east lindsey branch,58817.0
2012,5,19,10,east lindsey branch,62222.0
2012,5,19,18,east lindsey branch,72388.0
2012,5,20,17,east lindsey branch,44008.0
2012,5,21,3,east lindsey branch,74154.0
2012,5,21,22,east lindsey branch,75624.0
2012,5,24,21,east lindsey branch,47335.0
2012,5,25,15,east lindsey branch,30792.0
2012,5,25,23,east lindsey branch,23744.0
2012,5,26,14,east lindsey branch,63368.0
2012,5,28,12,east lindsey branch,78242.0
2012,6,1,16,east lindsey branch,45746.0
2012,6,2,23,east lindsey branch,78843.0
2012,6,5,8,east lindsey branch,46040.0
2012,6,7,22,east lindsey branch,53150.0
2012,6,10,13,east lindsey branch,57825.0
2012,6,12,3,east lindsey branch,1645.0
2012,6,12,15,east lindsey branch,56475.0
2012,6,12,20,east lindsey branch,69679.0
2012,6,15,21,east lindsey branch,52211.0
2012,6,16,2,east lindsey branch,22610.0
2012,6,16,5,east lindsey branch,57866.0
2012,6,17,1,east lindsey branch,40073.0
2012,6,17,7,east lindsey branch,12981.0
2012,6,17,9,east lindsey branch,2524.0
2012,6,17,19,east lindsey branch,48262.0
2012,6,20,18,east lindsey branch,82940.0
2012,6,23,4,east lindsey branch,49757.0
2012,6,24,10,east lindsey branch,28436.0
2012,6,24,14,east lindsey branch,34452.0
2012,6,25,11,east lindsey branch,40047.0
2012,6,25,17,east lindsey branch,73823.0
2012,6,26,0,east lindsey branch,2589.0
2012,6,27,12,east lindsey branch,41033.0
2012,6,28,6,east lindsey branch,58022.0
2012,7,1,7,east lindsey branch,38657.0
2012,7,2,21,east lindsey branch,78191.0
2012,7,3,17,east lindsey branch,49874.0
2012,7,5,10,east lindsey branch,68222.0
2012,7,8,12,east lindsey branch,35557.0
2012,7,11,9,east lindsey branch,51666.0
2012,7,13,19,east lindsey branch,1447.0
2012,7,14,2,east lindsey branch,68334.0
2012,7,14,13,east lindsey branch,65366.0
2012,7,16,23,east lindsey branch,24383.0
2012,7,17,8,east lindsey branch,12307.0
2012,7,17,22,east lindsey branch,64246.0
2012,7,20,0,east lindsey branch,71173.0
2012,7,20,6,east lindsey branch,64524.0
2012,7,21,18,east lindsey branch,72786.0
2012,7,22,1,east lindsey branch,64194.0
2012,7,22,11,east lindsey branch,21290.0
2012,7,22,20,east lindsey branch,77523.0
2012,7,23,14,east lindsey branch,1781.0
2012,7,23,15,east lindsey branch,7578.0
2012,7,24,3,east lindsey branch,77744.0
2012,7,24,16,east lindsey branch,5727.0
2012,7,25,5,east lindsey branch,25899.0
2012,7,26,4,east lindsey branch,58384.0
2012,8,1,22,east lindsey branch,34672.0
2012,8,2,14,east lindsey branch,82696.0
2012,8,3,9,east lindsey branch,11383.0
2012,8,4,20,east lindsey branch,14220.0
2012,8,5,6,east lindsey branch,30257.0
2012,8,6,19,east lindsey branch,29655.0
2012,8,7,7,east lindsey branch,82239.0
2012,8,9,1,east lindsey branch,39034.0
2012,8,11,2,east lindsey branch,60442.0
2012,8,12,5,east lindsey branch,78861.0
2012,8,12,8,east lindsey branch,3058.0
2012,8,13,4,east lindsey branch,56911.0
2012,8,13,11,east lindsey branch,29481.0
2012,8,15,17,east lindsey branch,37914.0
2012,8,16,23,east lindsey branch,31388.0
2012,8,19,0,east lindsey branch,51988.0
2012,8,19,10,east lindsey branch,48304.0
2012,8,23,3,east lindsey branch,937.0
2012,8,23,12,east lindsey branch,35244.0
2012,8,23,21,east lindsey branch,58162.0
2012,8,25,15,east lindsey branch,31419.0
2012,8,26,18,east lindsey branch,2199.0
2012,8,28,13,east lindsey branch,31822.0
2012,8,28,16,east lindsey branch,18427.0
2012,9,1,9,east lindsey branch,8706.0
2012,9,1,15,east lindsey branch,59108.0
2012,9,2,16,east lindsey branch,26657.0
2012,9,3,2,east lindsey branch,12522.0
2012,9,6,12,east lindsey branch,41978.0
2012,9,7,1,east lindsey branch,28860.0
2012,9,8,17,east lindsey branch,4242.0
2012,9,10,23,east lindsey branch,20992.0
2012,9,11,3,east lindsey branch,40742.0
2012,9,13,11,east lindsey branch,6739.0
2012,9,13,22,east lindsey branch,60300.0
2012,9,14,4,east lindsey branch,552.0
2012,9,15,13,east lindsey branch,22606.0
2012,9,18,6,east lindsey branch,57393.0
2012,9,18,7,east lindsey branch,28215.0
2012,9,18,19,east lindsey branch,82268.0
2012,9,19,10,east lindsey branch,17187.0
2012,9,19,20,east lindsey branch,26969.0
2012,9,22,21,east lindsey branch,30916.0
2012,9,23,18,east lindsey branch,13089.0
2012,9,25,0,east lindsey branch,1092.0
2012,9,25,8,east lindsey branch,12135.0
2012,9,27,5,east lindsey branch,30361.0
2012,9,27,14,east lindsey branch,44255.0
2012,10,1,7,east lindsey branch,61710.0
2012,10,1,23,east lindsey branch,5563.0
2012,10,2,19,east lindsey branch,64424.0
2012,10,3,2,east lindsey branch,79317.0
2012,10,4,17,east lindsey branch,22948.0
2012,10,5,11,east lindsey branch,24411.0
2012,10,6,6,east lindsey branch,78341.0
2012,10,7,4,east lindsey branch,59222.0
2012,10,7,12,east lindsey branch,39355.0
2012,10,12,8,east lindsey branch,62832.0
2012,10,12,20,east lindsey branch,45293.0
2012,10,14,3,east lindsey branch,78372.0
2012,10,15,5,east lindsey branch,33570.0
2012,10,15,15,east lindsey branch,83005.0
2012,10,15,22,east lindsey branch,26552.0
2012,10,17,9,east lindsey branch,25905.0
2012,10,17,10,east lindsey branch,64544.0
2012,10,17,21,east lindsey branch,21090.0
2012,10,18,1,east lindsey branch,7826.0
2012,10,19,14,east lindsey branch,40267.0
2012,10,20,18,east lindsey branch,55116.0
2012,10,24,0,east lindsey branch,12309.0
2012,10,26,13,east lindsey branch,77773.0
2012,10,28,16,east lindsey branch,33893.0
2012,11,1,12,east lindsey branch,1844.0
2012,11,2,4,east lindsey branch,32839.0
2012,11,3,8,east lindsey branch,83137.0
2012,11,5,21,east lindsey branch,16024.0
2012,11,6,23,east lindsey branch,28322.0
2012,11,7,19,east lindsey branch,40992.0
2012,11,10,15,east lindsey branch,28181.0
2012,11,11,16,east lindsey branch,47880.0
2012,11,11,22,east lindsey branch,13857.0
2012,11,12,7,east lindsey branch,58080.0
2012,11,12,18,east lindsey branch,54465.0
2012,11,16,17,east lindsey branch,68896.0
2012,11,17,0,east lindsey branch,80991.0
2012,11,19,9,east lindsey branch,64695.0
2012,11,20,20,east lindsey branch,60338.0
2012,11,22,5,east lindsey branch,13527.0
2012,11,23,2,east lindsey branch,36728.0
2012,11,23,6,east lindsey branch,76112.0
2012,11,24,13,east lindsey branch,44064.0
2012,11,25,10,east lindsey branch,67802.0
2012,11,26,3,east lindsey branch,42449.0
2012,11,27,1,east lindsey branch,67506.0
2012,11,27,11,east lindsey branch,23660.0
2012,11,28,14,east lindsey branch,69460.0
2012,12,1,15,east lindsey branch,10874.0
2012,12,2,0,east lindsey branch,52509.0
2012,12,5,12,east lindsey branch,21614.0
2012,12,6,4,east lindsey branch,10004.0
2012,12,7,17,east lindsey branch,17215.0
2012,12,8,10,east lindsey branch,76240.0
2012,12,10,16,east lindsey branch,45475.0
2012,12,11,8,east lindsey branch,72863.0
2012,12,11,20,east lindsey branch,72537.0
2012,12,12,9,east lindsey branch,15069.0
2012,12,12,13,east lindsey branch,19780.0
2012,12,13,18,east lindsey branch,72814.0
2012,12,14,6,east lindsey branch,78739.0
2012,12,15,7,east lindsey branch,51390.0
2012,12,15,14,east lindsey branch,79698.0
2012,12,15,23,east lindsey branch,70649.0
2012,12,16,3,east lindsey branch,18263.0
2012,12,18,21,east lindsey branch,28388.0
2012,12,19,1,east lindsey branch,48568.0
2012,12,21,11,east lindsey branch,74255.0
2012,12,22,5,east lindsey branch,39444.0
2012,12,22,19,east lindsey branch,35096.0
2012,12,23,2,east lindsey branch,75427.0
2012,12,23,22,east lindsey branch,80471.0
2013,1,2,15,east lindsey branch,50304.0
2013,1,3,17,east lindsey branch,75723.0
2013,1,4,9,east lindsey branch,63081.0
2013,1,10,3,east lindsey branch,5914.0
2013,1,12,4,east lindsey branch,80567.0
2013,1,13,2,east lindsey branch,1267.0
2013,1,14,22,east lindsey branch,72236.0
2013,1,15,0,east lindsey branch,68309.0
2013,1,15,1,east lindsey branch,13149.0
2013,1,15,11,east lindsey branch,82025.0
2013,1,16,14,east lindsey branch,14616.0
2013,1,16,20,east lindsey branch,17192.0
2013,1,16,21,east lindsey branch,5542.0
2013,1,17,6,east lindsey branch,45684.0
2013,1,18,13,east lindsey branch,55290.0
2013,1,18,19,east lindsey branch,31701.0
2013,1,18,23,east lindsey branch,46979.0
2013,1,19,10,east lindsey branch,71292.0
2013,1,21,18,east lindsey branch,77649.0
2013,1,24,12,east lindsey branch,34696.0
2013,1,25,5,east lindsey branch,11573.0
2013,1,27,8,east lindsey branch,73055.0
2013,1,28,7,east lindsey branch,4479.0
2013,1,28,16,east lindsey branch,21187.0
2013,2,1,4,east lindsey branch,15974.0
2013,2,2,8,east lindsey branch,42980.0
2013,2,3,3,east lindsey branch,15888.0
2013,2,3,10,east lindsey branch,19518.0
2013,2,3,13,east lindsey branch,66140.0
2013,2,5,17,east lindsey branch,20622.0
2013,2,6,2,east lindsey branch,37484.0
2013,2,7,23,east lindsey branch,27935.0
2013,2,9,12,east lindsey branch,64880.0
2013,2,10,16,east lindsey branch,64603.0
2013,2,11,11,east lindsey branch,28076.0
2013,2,12,5,east lindsey branch,21366.0
2013,2,12,14,east lindsey branch,71543.0
2013,2,12,21,east lindsey branch,78009.0
2013,2,13,18,east lindsey branch,52815.0
2013,2,15,15,east lindsey branch,30832.0
2013,2,17,0,east lindsey branch,68251.0
2013,2,18,1,east lindsey branch,46775.0
2013,2,19,6,east lindsey branch,76807.0
2013,2,26,9,east lindsey branch,28207.0
2013,2,26,19,east lindsey branch,15982.0
2013,2,27,7,east lindsey branch,9171.0
2013,2,27,20,east lindsey branch,78075.0
2013,2,28,22,east lindsey branch,33303.0
2013,3,2,3,east lindsey branch,6049.0
2013,3,4,16,east lindsey branch,25416.0
2013,3,4,20,east lindsey branch,52295.0
2013,3,5,10,east lindsey branch,71306.0
2013,3,8,15,east lindsey branch,24529.0
2013,3,9,5,east lindsey branch,1137.0
2013,3,10,4,east lindsey branch,77173.0
2013,3,11,0,east lindsey branch,30521.0
2013,3,12,19,east lindsey branch,46154.0
2013,3,13,7,east lindsey branch,78318.0
2013,3,13,21,east lindsey branch,50761.0
